id,vote,name,party, and Explosives relat
0,district,vote,name,party
1,4,Aye,Rep. Robert Aderholt [R],Republican
2,2,No,Rep. Sanford Bishop [D],Democrat
3,3,No,Rep. Earl Blumenauer [D],Democrat
4,26,Aye,Rep. Michael Burgess [R],Republican
5,41,Aye,Rep. Ken Calvert [R],Republican
6,31,Aye,Rep. John R. Carter [R],Republican
7,1,No,Rep. Ed Case [D],Democrat
8,6,No,Rep. James “Jim” Clyburn [D],Democrat
9,4,Aye,Rep. Tom Cole [R],Republican
10,7,No,Rep. Danny Davis [D],Democrat
11,1,No,Rep. Diana DeGette [D],Democrat
12,3,No,Rep. Rosa DeLauro [D],Democrat
13,26,Aye,Rep. Mario Diaz-Balart [R],Republican
14,37,No,Rep. Lloyd Doggett [D],Democrat
15,16,No,Rep. Anna Eshoo [D],Democrat
16,12,Aye,Rep. Kay Granger [R],Republican
17,6,Aye,Rep. Sam Graves [R],Republican
18,7,No,Rep. Raúl Grijalva [D],Democrat
19,5,No,Rep. Steny Hoyer [D],Democrat
20,48,Aye,Rep. Darrell Issa [R],Republican
21,18,No,Rep. Sheila Jackson Lee [D],Democrat
22,9,No,Rep. Marcy Kaptur [D],Democrat
23,2,No,Rep. Rick Larsen [D],Democrat
24,1,No,Rep. John Larson [D],Democrat
25,12,No,Rep. Barbara Lee [D],Democrat
26,18,No,Rep. Zoe Lofgren [D],Democrat
27,3,Aye,Rep. Frank Lucas [R],Republican
28,8,No,Rep. Stephen Lynch [D],Democrat
29,4,No,Rep. Betty McCollum [D],Democrat
30,2,No,Rep. James “Jim” McGovern [D],Democrat
31,5,No,Rep. Gregory Meeks [D],Democrat
32,12,No,Rep. Jerrold Nadler [D],Democrat
33,31,No,Rep. Grace Napolitano [D],Democrat
34,1,No,Rep. Richard Neal [D],Democrat
35,6,No,Rep. Frank Pallone [D],Democrat
36,9,No,Rep. Bill Pascrell [D],Democrat
37,11,No,Rep. Nancy Pelosi [D],Democrat
38,5,Aye,Rep. Harold “Hal” Rogers [R],Republican
39,3,Aye,Rep. Mike Rogers [R],Republican
40,2,No,Rep. A. Dutch Ruppersberger [D],Democrat
41,38,No,Rep. Linda Sánchez [D],Democrat
42,9,No,Rep. Janice “Jan” Schakowsky [D],Democrat
43,30,No,Rep. Adam Schiff [D],Democrat
44,13,No,Rep. David Scott [D],Democrat
45,3,No,Rep. Robert “Bobby” Scott [D],Democrat
46,17,Aye,Rep. Pete Sessions [R],Republican
47,32,No,Rep. Brad Sherman [D],Democrat
48,2,Aye,Rep. Michael “Mike” Simpson [R],Republican
49,9,No,Rep. Adam Smith [D],Democrat
50,4,Aye,Rep. Christopher “Chris” Smith [R],Republican
51,2,No,Rep. Bennie Thompson [D],Democrat
52,4,No,Rep. Mike Thompson [D],Democrat
53,10,Not Voting,Rep. Michael Turner [R],Republican
54,7,No,Rep. Nydia Velázquez [D],Democrat
55,43,No,Rep. Maxine Waters [D],Democrat
56,2,Aye,Rep. Joe Wilson [R],Republican
57,21,No,Rep. Jim Costa [D],Democrat
58,25,No,Rep. Debbie Wasserman Schultz [D],Democrat
59,5,No,Rep. Emanuel Cleaver [D],Democrat
60,26,No,Rep. Brian Higgins [D],Democrat
61,5,Aye,Rep. Virginia Foxx [R],Republican
62,10,Aye,Rep. Patrick McHenry [R],Republican
