id,vote,name,party, FDA, and revenue provisions.
0,district,vote,name,party,
1,4,Aye,"Rep. Robert Aderholt [R, 1997-2024]",Republican,
2,1,Aye,"Rep. Rob Bishop [R, 2003-2020]",Republican,
3,2,No,"Rep. Sanford Bishop [D, 1993-2024]",Democrat,
4,3,No,"Rep. Earl Blumenauer [D, 1996-2024]",Democrat,
5,8,Aye,"Rep. Kevin Brady [R, 1997-2022]",Republican,
6,26,Aye,"Rep. Michael Burgess [R, 2003-2024]",Republican,
7,42,Aye,"Rep. Ken Calvert [R, 2013-2022]",Republican,
8,31,Aye,"Rep. John R. Carter [R, 2003-2024]",Republican,
9,1,No,"Rep. Ed Case [D, 2019-2024]",Democrat,
10,1,Aye,"Rep. Steve Chabot [R, 2011-2022]",Republican,
11,1,No,"Rep. Lacy Clay [D, 2001-2020]",Democrat,
12,6,No,"Rep. James “Jim” Clyburn [D, 1993-2024]",Democrat,
13,4,Aye,"Rep. Tom Cole [R, 2003-2024]",Republican,
14,5,No,"Rep. Jim Cooper [D, 2003-2022]",Democrat,
15,7,No,"Rep. Danny Davis [D, 1997-2024]",Democrat,
16,53,No,"Rep. Susan Davis [D, 2003-2020]",Democrat,
17,4,No,"Rep. Peter DeFazio [D, 1987-2022]",Democrat,
18,1,No,"Rep. Diana DeGette [D, 1997-2024]",Democrat,
19,3,No,"Rep. Rosa DeLauro [D, 1991-2024]",Democrat,
20,25,Aye,"Rep. Mario Diaz-Balart [R, 2013-2022]",Republican,
21,35,No,"Rep. Lloyd Doggett [D, 2013-2022]",Democrat,
22,18,No,"Rep. Michael Doyle [D, 2019-2022]",Democrat,
23,16,No,"Rep. Eliot Engel [D, 2013-2020]",Democrat,
24,18,No,"Rep. Anna Eshoo [D, 2013-2022]",Democrat,
25,12,Aye,"Rep. Kay Granger [R, 1997-2024]",Republican,
26,6,Aye,"Rep. Sam Graves [R, 2001-2024]",Republican,
27,3,No,"Rep. Raúl Grijalva [D, 2013-2022]",Democrat,
28,20,No,"Rep. Alcee Hastings [D, 2013-2021]",Democrat,
29,5,No,"Rep. Steny Hoyer [D, 1981-2024]",Democrat,
30,18,No,"Rep. Sheila Jackson Lee [D, 1995-2024]",Democrat,
31,30,No,"Rep. Eddie Bernice Johnson [D, 1993-2022]",Democrat,
32,9,No,"Rep. Marcy Kaptur [D, 1983-2024]",Democrat,
33,3,No,"Rep. Ron Kind [D, 1997-2022]",Democrat,
34,2,Aye,"Rep. Peter “Pete” King [R, 2013-2020]",Republican,
35,4,Aye,"Rep. Steve King [R, 2013-2020]",Republican,
36,2,No,"Rep. James “Jim” Langevin [D, 2001-2022]",Democrat,
37,2,No,"Rep. Rick Larsen [D, 2001-2024]",Democrat,
38,1,No,"Rep. John Larson [D, 1999-2024]",Democrat,
39,13,No,"Rep. Barbara Lee [D, 2013-2022]",Democrat,
40,5,Not Voting,"Rep. John R. Lewis [D, 1987-2020]",Democrat,
41,19,No,"Rep. Zoe Lofgren [D, 2013-2022]",Democrat,
42,17,No,"Rep. Nita Lowey [D, 2013-2020]",Democrat,
43,3,Aye,"Rep. Frank Lucas [R, 2003-2024]",Republican,
44,8,No,"Rep. Stephen Lynch [D, 2013-2024]",Democrat,
45,12,No,"Rep. Carolyn Maloney [D, 2013-2022]",Democrat,
46,4,No,"Rep. Betty McCollum [D, 2001-2024]",Democrat,
47,2,No,"Rep. James “Jim” McGovern [D, 2013-2024]",Democrat,
48,5,No,"Rep. Gregory Meeks [D, 2013-2024]",Democrat,
49,10,No,"Rep. Jerrold Nadler [D, 2013-2022]",Democrat,
50,32,No,"Rep. Grace Napolitano [D, 2013-2022]",Democrat,
51,1,No,"Rep. Richard Neal [D, 2013-2024]",Democrat,
52,0,No,"Rep. Eleanor Holmes Norton [D, 1991-2024]",Democrat,
53,22,Aye,"Rep. Devin Nunes [R, 2013-2021]",Republican,
54,6,No,"Rep. Frank Pallone [D, 1993-2024]",Democrat,
55,9,No,"Rep. Bill Pascrell [D, 2013-2024]",Democrat,
56,7,No,"Rep. Collin Peterson [D, 1991-2020]",Democrat,
57,4,No,"Rep. David Price [D, 1997-2022]",Democrat,
58,5,Aye,"Rep. Harold “Hal” Rogers [R, 1981-2024]",Republican,
59,3,Aye,"Rep. Mike Rogers [R, 2003-2024]",Republican,
60,40,No,"Rep. Lucille Roybal-Allard [D, 2013-2022]",Democrat,
61,2,No,"Rep. A. Dutch Ruppersberger [D, 2003-2024]",Democrat,
62,1,No,"Rep. Bobby Rush [D, 1993-2022]",Democrat,
63,13,No,"Rep. Tim Ryan [D, 2013-2022]",Democrat,
64,38,No,"Rep. Linda Sánchez [D, 2013-2024]",Democrat,
65,9,No,"Rep. Janice “Jan” Schakowsky [D, 1999-2024]",Democrat,
66,28,No,"Rep. Adam Schiff [D, 2013-2022]",Democrat,
67,13,No,"Rep. David Scott [D, 2003-2024]",Democrat,
68,3,No,"Rep. Robert “Bobby” Scott [D, 1993-2024]",Democrat,
69,5,Aye,"Rep. James Sensenbrenner [R, 2003-2020]",Republican,
70,15,Not Voting,"Rep. José Serrano [D, 2013-2020]",Democrat,
71,30,No,"Rep. Brad Sherman [D, 2013-2022]",Democrat,
72,15,Aye,"Rep. John Shimkus [R, 2013-2020]",Republican,
73,2,Aye,"Rep. Michael “Mike” Simpson [R, 1999-2024]",Republican,
74,9,No,"Rep. Adam Smith [D, 1997-2024]",Democrat,
75,4,Aye,"Rep. Christopher “Chris” Smith [R, 1981-2024]",Republican,
76,2,No,"Rep. Bennie Thompson [D, 1993-2024]",Democrat,
77,5,No,"Rep. Mike Thompson [D, 2013-2022]",Democrat,
78,13,Aye,"Rep. Mac Thornberry [R, 1995-2020]",Republican,
79,10,Aye,"Rep. Michael Turner [R, 2013-2024]",Republican,
80,6,Aye,"Rep. Fred Upton [R, 1993-2022]",Republican,
81,7,No,"Rep. Nydia Velázquez [D, 2013-2024]",Democrat,
82,1,No,"Rep. Peter Visclosky [D, 1985-2020]",Democrat,
83,2,Aye,"Rep. Greg Walden [R, 1999-2020]",Republican,
84,43,No,"Rep. Maxine Waters [D, 2013-2024]",Democrat,
85,2,Aye,"Rep. Joe Wilson [R, 2001-2024]",Republican,
86,0,Aye,"Rep. Don Young [R, 1973-2022]",Republican,
87,1,No,"Rep. George “G.K.” Butterfield [D, 2004-2022]",Democrat,
88,16,No,"Rep. Jim Costa [D, 2013-2022]",Democrat,
89,23,No,"Rep. Debbie Wasserman Schultz [D, 2013-2022]",Democrat,
90,3,No,"Rep. Daniel Lipinski [D, 2005-2020]",Democrat,
91,5,No,"Rep. Emanuel Cleaver [D, 2005-2024]",Democrat,
92,1,Aye,"Rep. Jeff Fortenberry [R, 2005-2022]",Republican,
93,26,No,"Rep. Brian Higgins [D, 2013-2024]",Democrat,
94,5,Aye,"Rep. Virginia Foxx [R, 2005-2024]",Republican,
95,10,Aye,"Rep. Patrick McHenry [R, 2005-2024]",Republican,
96,1,Aye,"Rep. Louie Gohmert [R, 2005-2022]",Republican,
97,9,No,"Rep. Al Green [D, 2005-2024]",Democrat,
98,10,Aye,"Rep. Michael McCaul [R, 2005-2024]",Republican,
99,11,Aye,"Rep. Michael Conaway [R, 2005-2020]",Republican,
100,24,Aye,"Rep. Kenny Marchant [R, 2005-2020]",Republican,
101,28,No,"Rep. Henry Cuellar [D, 2005-2024]",Democrat,
102,5,Aye,"Rep. Cathy Anne McMorris Rodgers [R, 2005-2024]",Republican,
103,4,No,"Rep. Gwen Moore [D, 2005-2024]",Democrat,
104,6,No,"Rep. Doris Matsui [D, 2013-2022]",Democrat,
105,8,No,"Rep. Albio Sires [D, 2013-2022]",Democrat,
106,9,Not Voting,"Rep. Jerry McNerney [D, 2013-2022]",Democrat,
107,23,Aye,"Rep. Kevin McCarthy [R, 2013-2022]",Republican,
108,5,Aye,"Rep. Doug Lamborn [R, 2007-2024]",Republican,
109,7,No,"Rep. Ed Perlmutter [D, 2007-2022]",Democrat,
110,2,No,"Rep. Joe Courtney [D, 2007-2024]",Democrat,
111,14,No,"Rep. Kathy Castor [D, 2013-2024]",Democrat,
112,16,Aye,"Rep. Vern Buchanan [R, 2013-2024]",Republican,
113,4,No,"Rep. Henry C. “Hank” Johnson [D, 2007-2024]",Democrat,
114,2,No,"Rep. David Loebsack [D, 2007-2020]",Democrat,
115,3,No,"Rep. John Yarmuth [D, 2007-2022]",Democrat,
116,3,No,"Rep. John Sarbanes [D, 2007-2024]",Democrat,
117,7,Aye,"Rep. Tim Walberg [R, 2011-2022]",Republican,
118,3,Aye,"Rep. Adrian Smith [R, 2007-2024]",Republican,
119,9,No,"Rep. Yvette Clarke [D, 2013-2024]",Democrat,
120,4,Aye,"Rep. Jim Jordan [R, 2007-2024]",Republican,
121,9,No,"Rep. Steve Cohen [D, 2007-2024]",Democrat,
122,0,No,"Rep. Peter Welch [D, 2007-2022]",Democrat,
123,12,Aye,"Rep. Gus Bilirakis [R, 2013-2024]",Republican,
124,1,Aye,"Rep. Robert Wittman [R, 2007-2024]",Republican,
125,5,Aye,"Rep. Robert Latta [R, 2007-2024]",Republican,
126,11,No,"Rep. Bill Foster [D, 2013-2024]",Democrat,
127,7,No,"Rep. André Carson [D, 2008-2024]",Democrat,
128,14,No,"Rep. Jackie Speier [D, 2013-2022]",Democrat,
129,1,Aye,"Rep. Steve Scalise [R, 2008-2024]",Republican,
130,11,No,"Rep. Gerald Connolly [D, 2009-2024]",Democrat,
131,2,Aye,"Rep. Brett Guthrie [R, 2009-2024]",Republican,
132,4,No,"Rep. James “Jim” Himes [D, 2009-2024]",Democrat,
133,50,Not Voting,"Rep. Duncan D. Hunter [R, 2013-2020]",Republican,
134,2,No,"Rep. Ann Kirkpatrick [D, 2019-2022]",Democrat,
135,3,Aye,"Rep. Blaine Luetkemeyer [R, 2013-2024]",Republican,
136,3,No,"Rep. Ben Ray Luján [D, 2009-2020]",Democrat,
137,4,Aye,"Rep. Tom McClintock [R, 2009-2022]",Republican,
138,22,Aye,"Rep. Pete Olson [R, 2009-2020]",Republican,
139,1,No,"Rep. Chellie Pingree [D, 2009-2024]",Democrat,
140,8,Aye,"Rep. Bill Posey [R, 2013-2024]",Republican,
141,1,Aye,"Rep. David “Phil” Roe [R, 2009-2020]",Republican,
142,0,Not Voting,"Rep. Gregorio Sablan [D, 2009-2024]",Democrat,
143,5,Aye,"Rep. Kurt Schrader [D, 2009-2022]",Democrat,
144,15,Aye,"Rep. Glenn Thompson [R, 2019-2024]",Republican,
145,1,No,"Rep. Dina Titus [D, 2013-2024]",Democrat,
146,20,No,"Rep. Paul Tonko [D, 2013-2024]",Democrat,
147,11,No,"Rep. Marcia Fudge [D, 2008-2021]",Democrat,
148,5,No,"Rep. Mike Quigley [D, 2009-2024]",Democrat,
149,27,No,"Rep. Judy Chu [D, 2013-2022]",Democrat,
150,3,No,"Rep. John Garamendi [D, 2013-2022]",Democrat,
151,22,No,"Rep. Theodore “Ted” Deutch [D, 2017-2022]",Democrat,
152,14,Aye,"Rep. Tom Graves [R, 2013-2020]",Republican,
153,23,Aye,"Rep. Tom Reed [R, 2013-2022]",Republican,
154,2,Aye,"Rep. Martha Roby [R, 2011-2020]",Republican,
155,5,Aye,"Rep. Mo Brooks [R, 2011-2022]",Republican,
156,7,No,"Rep. Terri Sewell [D, 2011-2024]",Democrat,
157,4,Not Voting,"Rep. Paul Gosar [R, 2013-2022]",Republican,
158,6,Aye,"Rep. David Schweikert [R, 2013-2022]",Republican,
